Evo_Bichat_3_030_T0	Evo_Bichat_1_019_T0	Evo_Bichat_2_006_T1	Evo_Bichat_1_025_T1	Evo_Bichat_3_015_T0	Evo_Utrecht_cin_209_A	Evo_Bichat_2_006_T0	Evo_Utrecht_cin_169_B	Evo_Bichat_1_022_T1	Evo_Utrecht_cin_163_B	Evo_Bichat_1_011_bis_T1	Evo_Utrecht_cin_164_A	Evo_Bichat_3_030_T1	Evo_Utrecht_cin_319_C	Evo_Bichat_3_029_T1	Evo_Bichat_3_032_T1	Evo_Bichat_3_008_T1	Evo_Bichat_3_031_T1	Evo_Utrecht_cin_309_A	Evo_Bichat_1_014_T0	Evo_Utrecht_cin_163_C	Evo_Utrecht_XZ_025	Evo_Utrecht_cin_108_B	Evo_Utrecht_cin_164_D	Evo_Bichat_3_016_T1	Evo_Bichat_3_034_T1	Evo_Utrecht_cin_108_D	Evo_Bichat_1_022_T2	Evo_Utrecht_cin_180_B	Evo_Bichat_3_028_T1	Evo_Utrecht_cin_120_F	Evo_Utrecht_XZ_004	Evo_Utrecht_cin_233_B	Evo_Bichat_3_024_T0	Evo_Madrid_EFQ_2	Evo_Utrecht_cin_305_A	Evo_Bichat_3_011_T0	Evo_Madrid_EFQ_25	Evo_Bichat_3_012_T0	Evo_Madrid_EFQ_10	Evo_Bichat_3_031_T0	Evo_Bichat_3_015_T1	Evo_Bichat_3_009_T1	Evo_Utrecht_cin_291_A	Evo_Bichat_3_032_T0	Evo_Utrecht_cin_306_A	Evo_Bichat_3_036_T0	Evo_Bichat_3_028_T0	Evo_Bichat_3_026_T1	Evo_Bichat_1_003_T1	Evo_Utrecht_cin_228_D	Evo_Bichat_3_036_T1	Evo_Utrecht_cin_108_A	Evo_Madrid_EFQ_15	Evo_Bichat_3_012_T1	Evo_Bichat_3_016_T0	Evo_Utrecht_cin_228_C	Evo_Madrid_EFQ_31	Evo_Bichat_1_014_T2	Evo_Bichat_1_012_T0	Evo_Bichat_3_021_T0	Evo_Bichat_3_034_T0	Evo_Madrid_EFQ_6	Evo_Bichat_1_016_T2	Evo_Bichat_1_003_T2	Evo_Utrecht_cin_180_A	Evo_Utrecht_XZ_028	Evo_Bichat_3_007_T1	Evo_Madrid_EFQ_3	Evo_Bichat_1_024_T1	Evo_Utrecht_XZ_033	Evo_Utrecht_cin_236_B	Evo_Bichat_3_024_T1	Evo_Utrecht_cin_197_A	Evo_Utrecht_cin_325_B	Evo_Utrecht_cin_169_C	Evo_Utrecht_XZ_030	Evo_Bichat_1_019_T2	Evo_Bichat_3_013_T0	Evo_Utrecht_cin_213_A	Evo_Utrecht_cin_108_C	Evo_Bichat_1_010_T2	Evo_Utrecht_XZ_034	Evo_Bichat_1_025_T0	Evo_Utrecht_cin_210_C	Evo_Utrecht_cin_319_B	Evo_Utrecht_XZ_032	Evo_Utrecht_cin_120_A	Evo_Bichat_3_025_T1	Evo_Bichat_3_008_T0	Evo_Bichat_1_026_T1	Evo_Bichat_3_007_T0	Evo_Utrecht_cin_236_A	Evo_Bichat_2_007_T1	Evo_Madrid_EFQ_7	Evo_Madrid_EFQ_34	Evo_Madrid_EFQ_5	Evo_Utrecht_XZ_001	Evo_Bichat_3_026_T0	Evo_Bichat_1_001_T1	Evo_Madrid_EFQ_11	Evo_Utrecht_XZ_036	Evo_Utrecht_cin_306_B	Evo_Bichat_1_012_T1	Evo_Bichat_3_021_T1	Evo_Bichat_1_011_bis_T2	Evo_Madrid_EFQ_27	Evo_Utrecht_cin_197_C	Evo_Madrid_EFQ_35	Evo_Madrid_EFQ_29	Evo_Bichat_2_007_T0	Evo_Bichat_3_009_T0	Evo_Utrecht_cin_108_E	Evo_Bichat_3_014_T0	Evo_Bichat_1_016_T0	Evo_Madrid_EFQ_26	Evo_Utrecht_XZ_014	Evo_Madrid_EFQ_36	Evo_Bichat_1_024_T2	Evo_Bichat_3_013_T1	Evo_Bich_3_007_T0	Evo_Bichat_1_016_T1	Evo_Utrecht_cin_213_C	Evo_Bichat_1_010_T0	Evo_Utrecht_cin_105_C_3	Evo_Utrecht_cin_164_B	Evo_Utrecht_XZ_016	Evo_Bichat_3_025_T0	Evo_Bichat_1_024_T0	Evo_Bichat_1_003_T0	Evo_Madrid_EFQ_9	Evo_Utrecht_XZ_017	Evo_Bichat_1_022_T0	Evo_Madrid_EFQ_33	Evo_Utrecht_cin_228_A	Evo_Bichat_3_011_T1	Evo_Madrid_EFQ_8	Evo_Madrid_EFQ_32	Evo_Madrid_EFQ_24	Evo_Utrecht_cin_120_G	Evo_Utrecht_cin_169_A	Evo_Utrecht_XZ_005	Evo_Utrecht_cin_210_A	Evo_Bichat_3_017_T1	Evo_Madrid_EFQ_30	Evo_Madrid_EFQ_17	Evo_Utrecht_XZ_015	Evo_Bichat_1_001_T0	Evo_Utrecht_cin_105_B_1	Evo_Madrid_EFQ_19	Evo_Madrid_EFQ_16	Evo_Utrecht_cin_233_A	Evo_Madrid_EFQ_13	Evo_Utrecht_cin_105_A_4	Evo_Madrid_EFQ_4	Evo_Utrecht_XZ_018	Evo_Utrecht_cin_165_C	Evo_Madrid_EFQ_28	Evo_Madrid_EFQ_1	Evo_Utrecht_cin_165_A	Evo_Madrid_EFQ_12	Evo_Utrecht_cin_105_D	Evo_Utrecht_cin_342_B	Evo_Utrecht_XZ_035	Evo_Utrecht_XZ_024	Evo_Madrid_EFQ_23	Evo_Utrecht_XZ_026	Evo_Utrecht_XZ_027	Evo_Utrecht_XZ_031	Evo_Utrecht_cin_165_D	Evo_Utrecht_XZ_029	Evo_Utrecht_cin_120_E	Evo_Utrecht_cin_228_B	Evo_Utrecht_cin_120_H	Evo_Utrecht_XZ_007	Evo_Utrecht_XZ_022	Evo_Bichat_1_010_T1	Evo_Bichat_1_026_T0	Evo_Utrecht_XZ_023	Evo_Utrecht_XZ_002	Evo_Bichat_1_025_T2	Evo_Utrecht_XZ_009	Evo_Utrecht_XZ_003	Evo_Utrecht_XZ_008	Evo_Utrecht_XZ_011	Evo_Utrecht_XZ_006	Evo_Utrecht_XZ_012	Evo_Utrecht_XZ_013	Evo_Utrecht_XZ_019	Evo_Utrecht_XZ_020	Evo_Utrecht_XZ_021
MC3.MG1.AS1.GP1.C1485.G5	3	0	6	21	3	0	0	0	0	0	0	4	3	0	0	165	414	1	0	127	0	0	0	0	2	1	0	0	0	179	0	2	0	1	0	0	70	0	59	0	47	4	2	0	1	0	0	1	0	0	1	0	6	0	32	2	0	0	0	0	2	0	0	7	7	0	0	1	0	0	0	0	3	2	0	0	0	0	3	0	0	0	0	7	0	21	0	0	4	111	0	2	0	0	6	0	0	34	330	0	0	0	0	1	7	4	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	6	0	4	0	0	0	5	0	1	0	0	0	0	1	1	0	0	0	0	0	0	6	329	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	0	213	0	0	0	0	0	0	0	0
MC3.MG1.AS1.GP1.C1877.G2	4	0	6	38	7	3	1	0	1	0	1	17	3	1	4	396	922	2	0	289	0	0	0	0	8	4	0	0	0	408	0	14	0	0	52	0	139	0	199	0	210	1	18	0	29	0	6	5	1	7	0	3	2	0	75	9	1	0	2	0	45	5	0	31	18	5	0	1	0	0	0	0	6	1	0	0	0	2	1	0	1	5	0	4	0	78	1	0	21	246	0	3	1	5	14	2	0	87	1133	5	0	0	0	4	66	1	0	0	2	0	3	26	0	0	5	1	0	1	1	0	0	24	0	3	0	0	0	12	0	4	0	0	1	0	17	214	0	5	0	0	1	1	35	907	24	5	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	1	0	0	0	79	0	0	1	65	0	936	0	0	0	0	0	0	0	0
MC3.MG1.AS1.GP1.C3116.G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC3.MG1.AS1.GP1.C3788.G46	17	0	28	0	1	2	78	0	1	0	0	116	4	0	4	5	1	37	0	132	0	0	0	0	12	3	0	0	0	14	0	0	0	8	1	0	10	0	30	7	148	1	124	1	1	0	19	0	0	1	0	2	0	0	80	25	0	1	0	0	77	1	0	68	2	9	0	0	3	0	0	0	129	18	0	0	0	0	0	0	4	2	0	0	0	4	0	0	58	0	0	1	1	0	12	17	1	70	18	2	116	0	0	1	136	0	3	0	504	1	0	0	0	0	4	0	0	1	0	0	0	1	0	2	0	0	0	55	0	23	0	1	3	3	0	24	1	357	25	2	0	0	2	72	1	111	0	0	0	2	0	11	0	0	3	0	1	56	0	14	0	361	0	0	0	19	0	2	0	80	0	0	0	81	0	0	0	0	0	0	341	0	2	0	0	0	0	0	1	0	0
MC3.MG1.AS1.GP1.C5102.G3	3	0	0	11	2	3	0	0	0	0	1	2	3	0	1	247	389	2	0	45	0	0	0	0	2	3	0	0	0	13	0	4	0	0	20	0	12	0	68	0	70	1	13	0	4	1	1	0	0	2	0	1	4	0	27	6	0	0	1	0	14	1	0	27	3	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	2	0	29	0	0	4	93	0	2	1	1	2	0	0	31	363	0	0	0	0	1	28	0	0	0	0	0	1	5	0	0	3	0	0	0	1	0	0	7	0	4	0	0	0	3	0	2	0	0	2	0	2	153	0	0	0	0	0	0	18	192	25	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	40	0	0	0	4	0	125	0	0	1	0	0	0	0	0
MC3.MG1.AS1.GP1.C5345.G2	32	0	40	4	1	4	84	0	5	2	0	109	3	0	6	3	1	36	0	120	0	0	0	0	21	5	0	1	0	16	0	0	0	7	0	0	18	0	23	7	136	0	111	0	7	0	25	0	0	1	0	1	2	0	60	30	0	0	0	0	79	0	0	78	2	6	0	2	6	0	0	0	104	11	0	0	0	2	0	0	2	7	0	0	0	1	0	1	57	0	0	4	1	1	9	16	0	68	15	0	96	0	0	0	103	1	3	0	447	2	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	42	0	10	0	0	7	1	0	14	1	293	31	0	0	0	3	72	4	74	0	0	0	0	1	7	0	0	1	0	0	73	0	15	2	306	0	0	0	14	0	1	0	55	0	0	0	92	0	0	0	1	0	0	261	1	3	0	0	0	0	0	0	0	0
MC3.MG1.AS1.GP1.C6019.G2	44	0	62	5	0	5	193	0	4	1	0	296	17	0	8	6	10	65	0	192	1	0	0	0	18	12	1	1	1	31	2	0	0	10	0	0	39	0	42	10	262	2	257	0	15	0	50	0	0	2	0	2	1	0	105	65	0	2	0	2	157	4	2	133	6	4	0	2	8	1	0	1	222	29	0	0	0	2	0	0	10	8	0	0	0	2	0	0	107	0	0	2	4	4	37	28	0	141	29	0	219	0	0	11	252	2	12	0	1160	0	0	2	0	0	4	2	0	1	0	0	0	1	1	5	0	0	0	139	0	34	1	0	11	3	4	38	2	722	78	0	0	0	4	154	5	189	0	0	0	2	3	21	0	0	3	0	1	117	2	42	1	607	0	0	0	53	0	6	0	199	1	0	0	175	0	0	1	0	0	0	553	1	1	0	0	0	0	0	0	0	0
MC3.MG1.AS1.GP1.C7999.G2	1	0	6	19	4	3	0	0	1	0	0	9	2	0	1	237	367	1	0	152	0	0	0	0	4	1	0	0	0	143	0	7	0	0	41	0	73	0	115	0	132	1	10	0	23	0	5	1	0	2	0	1	6	0	54	5	0	0	1	0	29	0	0	36	14	4	0	1	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	2	0	33	0	0	12	98	0	1	2	0	12	0	0	91	622	0	0	0	0	0	53	3	0	0	1	0	0	15	0	0	4	0	0	0	0	0	0	9	0	4	0	0	0	7	1	6	0	0	2	0	10	124	0	6	0	0	1	0	23	379	35	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	10	0	0	0	0	0	0	68	0	0	0	27	0	673	0	0	0	0	0	0	0	0
MC3.MG1.AS1.GP1.C8307.G2	30	0	70	3	0	4	182	0	4	0	0	281	12	0	12	8	4	56	0	193	0	0	1	0	22	7	1	0	1	21	1	5	0	11	0	0	24	13	63	7	247	2	256	0	10	0	39	1	3	1	0	7	0	0	125	68	0	0	1	0	147	4	1	123	8	12	0	2	7	0	0	0	222	19	0	0	0	1	0	0	8	3	0	0	1	2	0	0	124	1	0	5	5	3	36	26	1	150	40	3	185	0	0	2	211	1	75	0	1003	3	1	1	0	0	8	12	0	2	0	0	0	0	0	5	0	1	0	85	0	25	3	0	5	2	1	39	1	662	78	1	0	2	6	148	4	163	0	0	0	18	1	35	1	0	6	0	0	119	1	30	0	522	0	0	0	93	0	1	0	210	0	0	1	152	0	0	3	0	0	2	535	0	13	1	0	3	0	0	0	0	0
MC3.MG1.AS1.GP1.C9016.G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
