sample	subject	time
Evo_Bichat_3_007_T0	C_7	t0
Evo_Bichat_3_008_T0	C_8	t0
Evo_Bichat_3_009_T0	C_9	t0
Evo_Bichat_3_011_T0	C_11	t0
Evo_Bichat_3_012_T0	C_12	t0
Evo_Bichat_3_015_T0	C_15	t0
Evo_Bichat_3_016_T0	C_16	t0
Evo_Bichat_3_021_T0	C_21	t0
Evo_Bichat_3_024_T0	C_24	t0
Evo_Bichat_3_025_T0	C_25	t0
Evo_Bichat_3_026_T0	C_26	t0
Evo_Bichat_3_028_T0	C_28	t0
Evo_Bichat_3_030_T0	C_30	t0
Evo_Bichat_3_031_T0	C_31	t0
Evo_Bichat_3_032_T0	C_32	t0
Evo_Bichat_3_034_T0	C_34	t0
Evo_Bichat_3_036_T0	C_36	t0
Evo_Bichat_3_007_T1	C_7	t1
Evo_Bichat_3_008_T1	C_8	t1
Evo_Bichat_3_009_T1	C_9	t1
Evo_Bichat_3_011_T1	C_11	t1
Evo_Bichat_3_012_T1	C_12	t1
Evo_Bichat_3_015_T1	C_15	t1
Evo_Bichat_3_016_T1	C_16	t1
Evo_Bichat_3_017_T1	C_17	t1
Evo_Bichat_3_021_T1	C_21	t1
Evo_Bichat_3_024_T1	C_24	t1
Evo_Bichat_3_025_T1	C_25	t1
Evo_Bichat_3_026_T1	C_26	t1
Evo_Bichat_3_028_T1	C_28	t1
Evo_Bichat_3_030_T1	C_30	t1
Evo_Bichat_3_031_T1	C_31	t1
Evo_Bichat_3_032_T1	C_32	t1
Evo_Bichat_3_034_T1	C_34	t1
Evo_Bichat_3_036_T1	C_36	t1
