Sequence	Candidate for	Resistance_to	Reference	MGS_DANOIS	isPhage	MGS_SIZE	superkingdom	phylum	class	order	family	genus	species	COG/NOG/KOG_v3	Functional category_v3	Annotation_eggNOG_v3
MC3.MG12.AS1.GP1.C65190.G5	aac2	aminoglycosides	AAC2_AAA03550_1	324	-	1738	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. CAG:324	NOG69811	General function prediction only 	Acetyltransferase
MC3.MG222.AS1.GP1.C6501.G2	aac2	aminoglycosides	AAC2_AAA03550_1	-	-	-								firmNOG08343	Translation, ribosomal structure and biogenesis 	Acetyltransferase
MC3.MG255.AS1.GP1.C13013.G2	aac2	aminoglycosides	AAC2_AAA03550_1	-	proph	-								proNOG26435	Transcription 	Aminoglycoside 6'-N-acetyltransferase
MC3.MG100.AS1.GP1.C18904.G5	aac3_1	aminoglycosides	AAC3_I_AAX16011_1	30	-	8134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG12.AS1.GP1.C13617.G13	aac3_1	aminoglycosides	AAC3_ID_BAD00738_1	228	-	3206								bactNOG33798	Transcription 	Acetyltransferase
MC3.MG12.AS1.GP1.C32823.G3	aac3_1	aminoglycosides	AAC3_ID_BAD00738_1	177	-	2376	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:177	bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG120.AS1.GP1.C54422.G2	aac3_1	aminoglycosides	AAC3_I_CAI46944_1	6034	-	3372								bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG240.AS1.GP1.C20697.G1	aac3_1	aminoglycosides	AAC3_I_CAI46944_1	226	-	2163	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:226	bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG286.AS1.GP1.C13271.G1	aac3_1	aminoglycosides	AAC3_I_CAI46944_1	90	-	1770	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. SR1/5	bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG299.AS1.GP1.C56257.G3	aac3_1	aminoglycosides	AAC_3_IB_AAA88422_1	882	-	2661	Bacteria	Firmicutes						bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG320.AS1.GP1.C34101.G6	aac3_1	aminoglycosides	AAC3_I_CAI46944_1	26	proph	7523	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG45770	Transcription 	Acetyltransferase
MC3.MG325.AS1.GP1.C45337.G1	aac3_1	aminoglycosides	AAC_3_IB_CAD53575_1	-	-	-								bactNOG24415	General function prediction only 	Gentamicin 3'-N-acetyltransferase
MC3.MG35.AS1.GP1.C38.G2	aac3_1	aminoglycosides	AAC3_ID_BAD00738_1	-	-	-								bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG358.AS1.GP1.C40491.G1	aac3_1	aminoglycosides	AAC_3_IB_AAA88422_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG358.AS1.GP1.C63208.G2	aac3_1	aminoglycosides	AAC3_ID_BAD00738_1	-	-	-								bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG368.AS1.GP1.C20363.G2	aac3_1	aminoglycosides	AAC_3_IB_CAD53575_1	-	-	-								bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG378.AS1.GP1.C41645.G1	aac3_1	aminoglycosides	AAC_3_I_CAA33850_1	-	proph	-	Bacteria	Firmicutes	Clostridia					bactNOG45770	Transcription 	Acetyltransferase
MC3.MG87.AS1.GP1.C26766.G1	aac3_1	aminoglycosides	AAC3_I_CAI46944_1	-	-	-								bactNOG35821	General function prediction only 	Acetyltransferase
MC3.MG10.AS1.GP1.C9047.G2	aac3_2	aminoglycosides	AAC3_VI_AAA16194_1	86	-	2327	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:86	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG101.AS1.GP1.C52027.G2	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	232	proph	2365	Bacteria	Firmicutes	Erysipelotrichia					bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG104.AS1.GP1.C7261.G2	aac3_2	aminoglycosides	AAC3_III_CAA39184_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG109.AS1.GP1.C47510.G2	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG110.AS1.GP1.C1626.G4	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	393	-	3210								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG110.AS1.GP1.C45925.G8	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG113.AS1.GP1.C14054.G1	aac3_2	aminoglycosides	AAC3_III_CAA39184_1	4341	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
MC3.MG113.AS1.GP1.C47819.G4	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	1277	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG117.AS1.GP1.C1072.G3	aac3_2	aminoglycosides	AAC_3_II_CAA35913_1	-	-	-								bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
